iter	Passed	Remaining
0	2	690
1	4	667
2	6	642
3	8	636
4	10	634
5	12	633
6	15	632
7	17	627
8	20	658
9	22	655
10	24	654
11	27	652
12	29	656
13	32	669
14	35	676
15	38	687
16	42	705
17	46	727
18	49	735
19	52	739
20	55	736
21	57	730
22	60	728
23	63	724
24	66	728
25	68	727
26	71	722
27	74	720
28	76	714
29	78	707
30	80	702
31	83	700
32	85	695
33	88	689
34	90	684
35	93	682
36	95	678
37	97	674
38	100	671
39	102	667
40	104	661
41	107	657
42	109	654
43	111	649
44	113	645
45	117	646
46	119	645
47	122	642
48	125	642
49	128	640
50	131	639
51	133	636
52	135	633
53	138	631
54	140	627
55	143	625
56	145	620
57	147	616
58	150	613
59	152	610
60	154	607
61	157	603
62	159	600
63	161	597
64	164	595
65	166	591
66	168	587
67	171	584
68	173	581
69	176	580
70	178	577
71	181	574
72	183	571
73	185	567
74	188	564
75	190	562
76	192	556
77	194	554
78	196	550
79	198	547
80	201	543
81	203	540
82	205	536
83	207	533
84	209	530
85	212	527
86	215	526
87	217	523
88	219	520
89	221	517
90	224	514
91	226	511
92	228	508
93	230	506
94	233	503
95	235	500
96	237	497
97	240	494
98	242	491
99	244	489
100	247	487
101	249	484
102	251	481
103	254	478
104	256	476
105	258	473
106	260	470
107	262	467
108	264	464
109	267	461
110	269	458
111	271	455
112	274	453
113	276	451
114	279	449
115	281	446
116	284	444
117	286	441
118	288	438
119	291	437
120	294	434
121	296	432
122	298	430
123	301	428
124	303	425
125	306	422
126	308	420
127	310	417
128	313	415
129	315	412
130	317	409
131	320	407
132	322	404
133	324	402
134	327	399
135	329	397
136	331	394
137	334	392
138	337	390
139	339	387
140	342	385
141	344	383
142	346	380
143	349	378
144	351	376
145	354	373
146	356	370
147	358	368
148	361	365
149	363	363
150	365	361
151	368	358
152	370	355
153	372	353
154	375	351
155	377	348
156	379	346
157	382	343
158	384	341
159	387	338
160	390	336
161	392	334
162	395	332
163	397	329
164	400	327
165	402	325
166	405	322
167	407	320
168	409	317
169	412	315
170	414	312
171	416	310
172	419	307
173	421	305
174	424	302
175	426	300
176	428	297
177	431	295
178	433	293
179	435	290
180	438	288
181	440	285
182	443	283
183	446	281
184	448	278
185	450	275
186	452	273
187	454	270
188	457	268
189	459	265
190	461	263
191	463	260
192	465	258
193	468	255
194	470	253
195	472	250
196	475	248
197	477	245
198	479	243
199	481	240
200	484	238
201	486	235
202	488	233
203	490	230
204	492	228
205	495	225
206	497	223
207	499	221
208	502	218
209	504	216
210	507	213
211	509	211
212	511	208
213	513	206
214	515	203
215	517	201
216	520	198
217	522	196
218	524	194
219	526	191
220	528	189
221	531	186
222	533	184
223	536	181
224	538	179
225	540	177
226	543	174
227	545	172
228	547	169
229	549	167
230	552	164
231	554	162
232	556	160
233	558	157
234	561	155
235	563	152
236	565	150
237	567	147
238	569	145
239	572	143
240	574	140
241	577	138
242	579	135
243	581	133
244	583	131
245	586	128
246	588	126
247	591	123
248	593	121
249	596	119
250	598	116
251	601	114
252	603	112
253	606	109
254	608	107
255	611	105
256	613	102
257	615	100
258	617	97
259	620	95
260	622	92
261	624	90
262	626	88
263	628	85
264	631	83
265	633	80
266	636	78
267	638	76
268	641	73
269	643	71
270	645	69
271	647	66
272	649	64
273	652	61
274	655	59
275	657	57
276	659	54
277	662	52
278	664	50
279	666	47
280	668	45
281	671	42
282	673	40
283	675	38
284	677	35
285	679	33
286	682	30
287	684	28
288	687	26
289	689	23
290	691	21
291	694	19
292	696	16
293	698	14
294	701	11
295	703	9
296	706	7
297	708	4
298	710	2
299	713	0
